"";"";"";"Domenica";"";"Lunedi"
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23";"% ore 15"
"SEZIONE 415";"";"17,11";"44,30";"55,41";"67,40"
"SEZIONE 416";"";"15,76";"36,78";"45,29";"57,25"
"SEZIONE 417";"";"15,75";"46,41";"55,56";"70,60"
"SEZIONE 418";"";"18,39";"43,72";"55,27";"69,39"
"SEZIONE 422";"";"20,86";"54,00";"63,69";"77,28"
"SEZIONE 423";"";"17,90";"53,19";"62,24";"73,87"
"SEZIONE 424";"";"15,42";"46,79";"57,89";"71,58"
"SEZIONE 425";"";"19,94";"46,86";"57,23";"71,19"
"SEZIONE 426";"";"18,73";"54,08";"60,73";"71,60"
"SEZIONE 427";"";"14,64";"45,24";"55,48";"68,93"
"SEZIONE 428";"";"19,94";"44,75";"53,12";"67,58"
"SEZIONE 430";"";"21,50";"52,96";"59,81";"71,03"
"SEZIONE 431";"";"18,53";"47,62";"59,59";"71,30"
"SEZIONE 433";"";"16,20";"51,17";"60,22";"71,06"
"SEZIONE 435";"";"17,17";"47,99";"56,39";"67,48"
"SEZIONE 436";"";"18,02";"49,51";"58,93";"69,16"
"SEZIONE 437";"";"14,74";"48,16";"57,49";"71,99"
"SEZIONE 438";"";"16,67";"47,99";"54,02";"64,18"
"SEZIONE 439";"";"11,74";"44,19";"53,28";"65,91"
"SEZIONE 440";"";"16,64";"48,76";"55,62";"67,45"
"SEZIONE 441";"";"17,07";"50,05";"62,78";"73,17"
"SEZIONE 444";"";"20,47";"56,71";"64,18";"72,75"
"SEZIONE 446";"";"18,81";"47,44";"58,37";"70,54"
"SEZIONE 447";"";"19,86";"50,35";"57,97";"68,59"
"SEZIONE 449";"";"19,48";"53,82";"64,79";"74,31"
"SEZIONE 450";"";"16,69";"49,09";"58,04";"67,71"
"SEZIONE 451";"";"18,62";"53,83";"63,01";"73,47"
"SEZIONE 452";"";"20,36";"49,23";"57,35";"67,27"
"SEZIONE 453";"";"22,71";"54,26";"60,88";"72,24"
"SEZIONE 454";"";"18,22";"49,44";"57,63";"73,31"
"SEZIONE 457";"";"18,00";"50,66";"60,87";"73,41"
"SEZIONE 458";"";"16,67";"47,39";"58,21";"68,78"
"SEZIONE 460";"";"14,17";"40,34";"46,42";"55,30"
"SEZIONE 461";"";"20,12";"48,05";"59,88";"72,66"
"SEZIONE 462";"";"17,19";"47,62";"59,23";"73,05"
"SEZIONE 465";"";"17,50";"43,28";"50,16";"58,44"
"SEZIONE 467";"";"16,65";"46,51";"56,80";"69,12"
"SEZIONE 468";"";"20,35";"50,00";"59,44";"71,94"
"SEZIONE 469";"";"17,68";"49,42";"58,58";"72,00"
"SEZIONE 474";"";"18,38";"42,34";"51,81";"65,04"
"SEZIONE 477";"";"19,77";"50,95";"61,31";"72,94"
"SEZIONE 479";"";"18,04";"46,74";"57,68";"68,71"
"SEZIONE 480";"";"20,90";"47,90";"57,26";"70,83"
"SEZIONE 482";"";"16,12";"54,80";"66,02";"78,98"
"SEZIONE 483";"";"15,42";"45,57";"54,13";"64,28"
"SEZIONE 484";"";"18,14";"49,32";"58,26";"69,94"
"SEZIONE 485";"";"20,60";"52,10";"60,63";"72,70"
"SEZIONE 487";"";"15,29";"50,63";"57,55";"70,11"
"SEZIONE 488";"";"15,92";"46,29";"54,70";"69,44"
"SEZIONE 489";"";"18,48";"49,05";"58,29";"70,10"
"SEZIONE 490";"";"17,97";"45,41";"53,24";"65,14"
"SEZIONE 493";"";"19,23";"51,19";"58,36";"70,19"
"SEZIONE 495";"";"14,27";"48,47";"58,25";"72,64"
"SEZIONE 498";"";"17,82";"46,70";"55,89";"67,96"
"SEZIONE 499";"";"20,02";"47,64";"57,21";"70,27"
"SEZIONE 501";"";"16,71";"48,14";"57,16";"69,36"
"SEZIONE 502";"";"15,98";"50,06";"60,49";"69,70"
"SEZIONE 504";"";"20,05";"53,50";"61,35";"72,83"
"SEZIONE 505";"";"11,22";"41,48";"51,70";"67,19"
"SEZIONE 506";"";"17,70";"43,64";"53,09";"65,12"
"SEZIONE 508";"";"16,45";"48,97";"57,71";"69,79"
"SEZIONE 510";"";"15,53";"42,47";"49,41";"61,88"
"SEZIONE 511";"";"15,10";"43,37";"51,63";"61,25"
"SEZIONE 512";"";"15,02";"43,44";"53,18";"70,50"
"SEZIONE 514";"";"16,34";"46,01";"53,99";"67,58"
"SEZIONE 515";"";"18,94";"48,34";"58,41";"70,46"
"SEZIONE 518";"";"13,28";"38,81";"41,79";"54,18"
"SEZIONE 519";"";"16,83";"47,58";"54,74";"66,92"
"SEZIONE 521";"";"9,88";"40,36";"50,91";"64,91"
"SEZIONE 523";"";"16,83";"53,67";"60,58";"72,37"
"SEZIONE 525";"";"13,62";"40,71";"47,37";"59,60"
"SEZIONE 526";"";"15,37";"42,01";"50,53";"66,82"
"SEZIONE 530 (Sezione ospedaliera)";"";"-";"-";"-";"-"
"SEZIONE 532";"";"20,22";"51,79";"57,54";"66,87"
"SEZIONE 534";"";"16,33";"46,20";"57,72";"70,51"
"SEZIONE 535";"";"17,05";"52,13";"62,02";"73,84"
"SEZIONE 537";"";"25,42";"54,24";"76,27";"88,14"
"SEZIONE 538";"";"17,54";"45,35";"54,42";"65,63"
"SEZIONE 539";"";"19,30";"50,18";"58,46";"68,57"
"SEZIONE 540";"";"17,88";"44,06";"53,87";"66,74"
"SEZIONE 541";"";"15,57";"30,21";"31,89";"42,40"
"SEZIONE 542";"";"15,64";"41,54";"49,87";"61,92"
"SEZIONE 543";"";"0";"45,33";"55,67";"68,99"
"SEZIONE 547";"";"15,57";"47,21";"57,49";"69,15"
"SEZIONE 548";"";"17,61";"49,77";"59,88";"68,61"
"SEZIONE 549";"";"17,05";"41,71";"46,67";"55,19"
"SEZIONE 550";"";"19,17";"46,04";"56,14";"66,48"
"SEZIONE 551";"";"18,35";"53,50";"61,12";"71,38"
"SEZIONE 552";"";"16,26";"43,28";"48,25";"59,27"
"SEZIONE 555";"";"16,21";"44,73";"53,81";"68,56"
"SEZIONE 556";"";"15,37";"39,42";"49,55";"62,03"
"SEZIONE 558";"";"15,96";"40,11";"49,08";"63,06"
"SEZIONE 561";"";"17,33";"35,67";"47,83";"61,33"
"SEZIONE 562";"";"20,17";"43,53";"53,62";"65,60"
"SEZIONE 564";"";"20,58";"53,46";"62,37";"72,96"
"SEZIONE 566";"";"18,39";"45,16";"52,90";"64,68"
"SEZIONE 567";"";"18,98";"52,50";"61,27";"72,03"
"SEZIONE 568";"";"20,56";"42,78";"49,72";"63,89"
"SEZIONE 569";"";"13,95";"39,33";"49,09";"61,09"
"SEZIONE 570";"";"19,96";"57,04";"64,35";"72,37"
