"";"";"";"Domenica";""
"Ente";"Sezioni";"% ore 12";"% ore 19";"% ore 23"
"SEZIONE 425";"";"13,68";"37,45";"49,80"
"SEZIONE 426";"";"18,85";"42,80";"54,32"
"SEZIONE 427";"";"18,10";"44,10";"53,84"
"SEZIONE 428";"";"13,71";"41,43";"51,71"
"SEZIONE 429";"";"17,85";"43,37";"53,67"
"SEZIONE 430";"";"17,34";"47,87";"57,27"
"SEZIONE 431";"";"17,38";"41,95";"50,64"
"SEZIONE 432";"";"17,95";"41,56";"48,76"
"SEZIONE 433";"";"16,44";"42,95";"54,14"
"SEZIONE 434";"";"19,71";"45,24";"56,66"
"SEZIONE 435";"";"16,39";"46,53";"56,25"
"SEZIONE 436";"";"15,65";"44,76";"54,93"
"SEZIONE 437";"";"16,21";"40,75";"48,49"
"SEZIONE 438";"";"14,96";"37,53";"48,82"
"SEZIONE 439";"";"15,50";"40,80";"51,33"
"SEZIONE 440";"";"18,66";"46,29";"55,98"
"SEZIONE 441";"";"16,69";"47,89";"58,35"
"SEZIONE 442";"";"14,71";"36,78";"43,89"
"SEZIONE 443";"";"19,45";"48,12";"56,31"
"SEZIONE 444";"";"13,46";"42,67";"53,25"
"SEZIONE 445";"";"19,55";"39,42";"45,35"
"SEZIONE 446";"";"16,32";"41,12";"47,52"
"SEZIONE 447";"";"17,39";"46,09";"53,17"
"SEZIONE 448";"";"17,29";"44,35";"50,21"
"SEZIONE 449";"";"16,41";"41,90";"48,50"
"SEZIONE 450";"";"14,41";"36,99";"44,30"
"SEZIONE 451";"";"12,36";"31,52";"38,59"
"SEZIONE 452";"";"15,49";"38,38";"46,57"
"SEZIONE 453";"";"17,23";"46,11";"55,05"
"SEZIONE 454";"";"17,12";"44,84";"54,12"
"SEZIONE 455";"";"18,81";"41,68";"50,47"
"SEZIONE 456";"";"20,62";"44,19";"49,76"
"SEZIONE 457";"";"14,19";"40,25";"49,66"
"SEZIONE 458";"";"19,39";"43,05";"52,01"
"SEZIONE 459";"";"17,81";"43,71";"50,31"
"SEZIONE 460";"";"17,23";"46,83";"56,11"
"SEZIONE 461";"";"16,71";"42,55";"51,32"
"SEZIONE 462";"";"16,41";"41,02";"48,00"
"SEZIONE 463";"";"16,29";"47,12";"56,13"
"SEZIONE 464";"";"20,39";"49,02";"55,31"
"SEZIONE 465";"";"19,96";"48,05";"57,30"
"SEZIONE 466";"";"17,38";"42,78";"50,67"
"SEZIONE 467";"";"13,13";"32,82";"39,61"
"SEZIONE 468";"";"10,70";"28,95";"36,29"
"SEZIONE 469";"";"15,71";"41,19";"53,85"
"SEZIONE 470";"";"9,16";"25,53";"34,83"
"SEZIONE 471";"";"11,88";"32,34";"40,08"
"SEZIONE 472";"";"13,12";"36,26";"44,31"
"SEZIONE 473";"";"18,47";"44,59";"55,25"
"SEZIONE 474";"";"15,57";"37,57";"46,86"
"SEZIONE 475";"";"16,96";"40,84";"49,11"
"SEZIONE 476";"";"16,65";"39,93";"48,75"
"SEZIONE 477";"";"14,47";"31,45";"39,87"
"SEZIONE 478";"";"13,74";"31,76";"37,41"
"SEZIONE 479";"";"14,69";"34,64";"41,62"
"SEZIONE 480";"";"12,73";"37,01";"46,98"
"SEZIONE 481";"";"10,54";"26,20";"34,34"
"SEZIONE 482";"";"16,57";"38,59";"45,08"
"SEZIONE 483";"";"16,63";"39,38";"47,46"
"SEZIONE 484";"";"17,96";"40,45";"48,24"
"SEZIONE 485";"";"19,52";"47,18";"55,73"
"SEZIONE 486";"";"17,18";"40,23";"48,25"
"SEZIONE 487";"";"14,85";"36,87";"42,97"
"SEZIONE 488";"";"15,07";"40,47";"48,94"
