SEZIONE,UNIONE POPOLARE CON DE MAGISTRIS,ITALEXIT PER L'ITALIA,+EUROPA,ALLEANZA VERDI E SINISTRA,IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO,PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA,ITALIA SOVRANA E POPOLARE,MOVIMENTO 5 STELLE,VITA,AZIONE - ITALIA VIVA - CALENDA,LEGA PER SALVINI PREMIER,FRATELLI D'ITALIA CON GIORGIA MELONI,FORZA ITALIA,NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC,MASTELLA NOI DI CENTRO EUROPEISTI,TOTALE,AFFLUENZA
339,7,9,34,27,3,134,10,33,1,69,20,79,27,10,0,498,0.738872404
340,6,7,21,31,3,138,7,33,2,69,22,62,18,13,0,468,0.75483871
341,9,11,25,21,1,124,10,42,1,119,24,105,25,26,0,591,0.778656126
342,10,3,29,38,0,136,4,35,3,86,24,128,27,18,0,579,0.76284585
343,19,5,29,46,1,168,14,56,1,87,23,90,21,11,2,618,0.731360947
344,20,8,26,51,2,117,17,33,3,65,13,53,9,13,0,480,0.689655172
345,13,9,28,37,2,143,4,32,3,88,20,98,25,21,1,549,0.744911805
346,9,9,33,54,1,214,7,59,2,53,29,109,28,14,0,698,0.74493063
347,8,5,22,30,4,135,6,28,4,101,29,102,26,14,0,564,0.750998668
348,11,4,25,39,3,151,8,28,2,69,16,62,30,15,0,494,0.777952756
349,4,8,18,42,1,132,9,42,2,55,16,77,27,7,1,493,0.754977029
350,14,8,24,28,1,155,13,63,2,70,36,93,30,13,0,594,0.73605948
351,6,7,35,40,30,35,10,24,8,90,20,83,52,25,2,510,0.804416404
352,5,4,23,23,1,82,8,24,0,121,21,99,45,19,1,499,0.777258567
353,10,13,23,39,2,161,9,48,4,55,16,57,20,4,1,490,0.651595745
354,5,14,35,35,2,160,8,40,0,105,27,99,32,23,0,628,0.780124224
355,7,3,31,35,1,135,12,43,3,121,23,128,26,22,0,642,0.770708283
356,6,12,32,33,4,140,9,49,0,67,20,123,33,24,1,583,0.755181347
357,3,6,31,26,1,156,14,31,4,63,19,115,28,23,0,551,0.777150917
358,7,13,19,27,0,110,8,33,0,78,26,124,34,16,1,539,0.719626168
359,6,15,24,18,2,78,17,93,6,67,43,115,41,12,0,576,0.283883687
360,2,10,35,30,2,125,12,75,3,64,61,111,35,9,0,629,0.730545877
361,0,17,27,25,0,111,9,34,4,72,30,58,158,26,1,613,0.736778846
362,7,8,19,30,3,104,10,51,2,75,27,94,37,18,1,529,0.765557164
363,3,8,21,16,1,119,6,31,6,85,23,99,34,12,0,505,0.754857997
364,5,15,33,29,0,154,6,52,3,81,16,131,38,12,0,601,0.718899522
365,4,5,32,16,3,136,15,43,3,92,23,130,34,28,0,598,0.727493917
366,8,11,18,29,0,103,5,34,2,61,18,89,28,15,0,456,0.74025974
367,5,4,41,24,4,192,1,36,0,102,24,150,50,26,0,709,0.787777778
368,5,2,21,27,2,129,5,38,0,79,21,101,27,15,0,492,0.756923077
369,4,0,3,2,1,30,0,10,1,5,12,26,1,1,0,102,102
370,3,5,19,3,0,69,4,21,1,51,17,102,18,9,0,337,0.757303371
371,2,5,17,18,0,85,2,39,2,66,20,92,16,11,0,400,0.744878957
372,2,11,13,17,0,108,4,46,2,78,29,161,38,19,0,564,0.713924051
373,5,7,24,25,3,113,9,50,0,58,28,106,35,20,0,513,0.698910082
374,4,9,24,20,0,111,3,35,9,52,29,82,25,8,1,445,0.694227769
375,11,3,15,24,2,106,9,46,1,74,22,90,37,15,0,490,0.704022989
376,13,4,18,24,2,106,8,47,0,49,16,112,45,11,0,489,0.680111266
377,2,7,28,17,0,118,4,32,2,93,35,154,45,27,0,598,0.753148615
378,8,3,18,18,0,93,12,26,2,58,43,121,31,18,2,491,0.70042796
379,5,14,19,17,2,121,1,42,0,47,21,126,40,18,0,520,0.722222222
380,9,18,19,21,0,158,12,49,4,50,26,106,28,23,0,576,0.693140794
381,10,14,27,31,2,141,9,49,3,51,31,116,39,12,1,569,0.708592777
382,7,11,15,27,2,149,11,75,3,50,39,129,39,11,0,617,0.695603157
383,7,19,21,24,1,159,6,49,4,41,35,87,16,8,0,530,0.671736375
384,2,13,24,25,2,167,13,63,4,41,34,133,38,12,2,608,0.709451575
385,5,14,27,20,2,152,6,54,4,63,47,126,23,14,0,596,0.685057471
386,11,11,30,23,3,107,1,42,4,56,35,120,29,14,0,528,0.671755725
387,5,10,26,20,5,136,12,69,2,67,38,116,39,16,0,595,0.68233945
388,3,8,12,13,1,101,6,28,3,96,26,128,37,32,1,536,0.792899408
389,6,8,25,15,1,103,6,33,4,104,45,153,33,20,0,590,0.732009926
390,7,9,22,15,6,98,7,49,3,43,29,101,18,16,0,466,0.659123055
391,5,5,24,18,1,133,5,35,3,99,38,154,38,17,0,664,0.72967033
392,7,7,24,19,0,119,7,52,2,68,25,109,29,14,0,511,0.780152672
393,4,9,29,15,1,141,4,29,0,134,20,207,51,26,0,732,0.828992072
394,2,11,24,17,2,113,8,29,2,106,18,164,56,21,1,608,0.763819095
395,2,6,24,17,0,117,6,25,1,72,18,116,31,14,0,502,0.731778426
396,3,7,35,25,0,102,3,18,0,138,25,134,48,35,2,601,0.693995381
397,0,6,26,20,1,111,6,32,2,103,31,142,28,32,0,574,0.707768187
398,2,11,23,31,0,94,1,24,0,69,22,104,23,17,0,453,0.770408163
399,5,1,28,26,1,182,13,42,6,67,32,142,38,20,0,653,0.751438435
400,5,12,28,25,5,136,5,39,2,78,34,102,27,35,0,576,0.75
401,13,4,20,20,2,132,6,49,0,76,38,90,24,11,0,513,0.80533752
402,6,6,24,27,2,135,4,46,7,57,28,97,32,14,0,519,0.708049113
403,3,13,29,29,6,139,9,42,1,138,37,142,30,28,0,695,0.750539957
404,2,5,26,12,0,98,2,38,2,80,31,157,38,9,0,531,0.668765743
405,1,5,14,13,0,73,2,13,3,103,22,148,44,20,0,500,0.777604977
406,4,11,25,13,1,117,10,24,3,152,39,165,51,21,0,683,0.723516949
407,7,9,19,21,2,101,3,30,4,116,30,190,54,26,2,669,0.770737327
408,2,6,27,11,4,132,4,31,2,114,17,156,39,32,0,622,0.742243437
409,1,7,13,16,1,92,11,32,2,78,18,93,37,24,0,455,0.739837398
410,1,3,19,19,0,127,11,49,2,66,45,128,21,7,0,528,0.710632571
411,3,8,10,10,0,85,5,35,6,91,25,159,47,26,0,547,0.732262383
412,2,8,25,13,0,105,4,23,1,104,33,204,40,28,0,639,0.806818182
413,2,12,22,20,2,101,8,35,1,65,22,101,30,11,0,479,0.690201729
414,0,7,23,4,14,113,7,48,1,76,32,113,40,18,0,538,0.758815233
415,8,7,15,10,0,88,2,42,3,65,33,128,33,25,0,499,0.723188406
416,3,7,27,20,0,124,13,50,4,93,30,134,29,33,0,611,0.756188119
417,7,12,30,16,2,134,6,34,1,89,37,159,48,23,1,642,0.75440658
418,7,14,30,19,0,148,5,35,2,46,24,101,29,13,1,518,0.737891738
419,2,7,12,22,0,112,7,50,2,41,25,74,11,21,1,425,0.601131542
420,6,7,12,18,3,107,3,48,6,40,42,96,26,12,0,491,0.68767507
421,3,7,5,7,5,53,4,36,2,15,30,59,6,2,0,254,0.686486486
422,0,2,0,4,4,34,1,11,2,11,7,21,10,2,1,123,20.5
423,0,0,1,5,0,26,0,11,0,4,9,23,5,2,0,92,#DIV/0!
424,0,2,2,3,0,13,1,0,1,5,7,20,8,0,0,80,#DIV/0!
425,7,7,17,11,2,72,4,44,0,29,23,92,29,11,0,378,0.633165829
426,7,4,19,17,4,96,12,48,0,39,23,94,18,10,0,434,0.658573596
